"id";"email";"username";"password";"created_at";"avatar_url"
"1";"email1@sjsu.edu";"blue01sky02";"password2";"2019-10-13 02:00:00";"www.url1.com"
"10";"email10@sjsu.edu";"army83";"password11";"2019-09-01 01:30:00";"www.url10.com"
"11";"email11@yahoo.com";"roseGarden";"password12";"2019-08-14 10:05:00";"www.url11.com"
"12";"email12@gmail.com";"wisdom11";"password13";"2019-08-10 09:00:00";"www.url12.com"
"13";"email13@sjsu.edu";"purpleSea";"password14";"2019-08-06 01:35:00";"www.url13.com"
"14";"email14@gmail.com";"ocean94";"password15";"2019-08-02 04:30:00";"www.url14.com"
"15";"email15@gmail.com";"paradiseblue3";"password16";"2019-07-31 03:10:00";"www.url15.com"
"16";"email16@gmail.com";"minimouse";"password16";"2019-10-03 06:50:00";"www.url16.com"
"2";"email2@yahoo.com";"cookie-09";"password3";"2019-10-05 03:05:00";"www.url2.com"
"2090d5b1-92f4-42d9-9f92-d8e1a8be6c5c";"mom@gmail.com";"mom";"$2a$10$fNGv7AmOgMEuxt6yjKfd8eBTci0euk.qH96DaKcE3n08kHFKExF5e";"2019-12-11 04:31:49";""
"23f64303-e85e-4b89-8030-1c8fc8648ea9";"abc@gmai.com";"annguyen";"$2a$10$6pw6.QZ9Bvl3QIgi29fq7u01PSgoW9eFhU26hOaHjlHgFTo.DjT.G";"2019-12-03 02:32:56";""
"247d997e-3081-4ed5-85e3-efdd61172657";"gdsf@gmail.com";"newTester";"$2a$10$O6MZ1LxgLSIwehWlJXFl3Ots6EyuwtDChW8LA4H9W.CAAQYUXyo52";"2019-12-11 03:35:58";""
"3";"email3@sjsu.edu";"angnguyen123";"password4";"2019-10-01 04:01:00";"www.url3.com"
"35193b63-17a0-4207-bbc9-cfbace6bfa57";"core@gmail.com";"core";"$2a$10$piGGaDh9NuLqow8QLYuDi.AtqXrUrXp2YuVIjvvah/fyrivo.Y402";"2019-12-11 03:13:08";""
"35f4957b-e381-4689-bd21-18a6cc7c60df";"e1@g.co";"un11";"$2a$10$.bk5gHBlQB4vFjSOo2q9n.9Y.ydsyhTYC0VudBOtoo2hAE9LBbgS.";"2019-12-06 21:49:10";""
"4";"email4@gmail.com";"an06nguyen";"password5";"2019-09-30 05:02:00";"www.url4.com"
"4e474561-b197-4505-97ad-fe2a77b95999";"dfdd@gmail.com";"nhi";"$2a$10$bIY8ABJv4ktYIaTDIeq2Keao8A2twJwWnm5iKgZ4tnIzlXv9ow0IC";"2019-12-06 09:10:44";""
"5";"email5@gmail.com";"nhinguyen73";"password6";"2019-09-28 01:10:00";"www.url5.com"
"51a3c554-4be9-4af5-9185-4bdb88095968";"car@gmail.com";"car";"$2a$10$F7Ll8/shR79/sSWFeXK5OuIhclbi3o4SpomftVyl5p7rJILH8dyFS";"2019-12-11 03:36:51";""
"5a37f35c-3096-4d0e-9fb7-1aa73c36955a";"test2@gmail.com";"test2";"$2a$10$XQPPCow4nzs1FbsUhOtn3.lme7SPFniKLZZzzUfPIY8tzgPE4E//e";"2019-12-03 17:31:20";""
"5f10681b-8a9e-4299-83f2-a66134f18c2f";"e12@g.c";"un12";"$2a$10$jI9RX5Fpole9TwsfVaAvBOcJ3qnrRznHOOeMPI0/s7AjJTkjXAth6";"2019-12-09 21:03:54";""
"5f3c5959-9887-4291-9255-d08381815120";"e21@g.c";"un21";"$2a$10$rqHleKdAxQj0lNWbOsMB/OQvhD77g265x/CnaatTpfAhI.8dPVeWW";"2019-12-11 03:49:29";""
"6";"email6@yahoo.com";"bunny46";"password7";"2019-09-20 05:15:00";"www.url6.com"
"6856b8c4-e7b1-419f-a774-90bb8fb68977";"e3@g.c";"un3";"$2a$10$Yqb/pIMR/8OFwq8YnEHTouXz8aUrra9T3f5ULTDjjMNkuVzyEDHHO";"2019-12-02 23:22:50";""
"6c7ee6fa-8f82-4fbf-830b-fcc848af2f56";"laptop@gmail.com";"laptop";"$2a$10$H1rh5IkYDVX73iW8qyiAmOYGcme2CNQkf0yF3Hx40q2aVg9Qco9hC";"2019-12-11 02:56:38";""
"6e594773-f28f-4efe-9e8b-f211af0d0851";"an@gmail.com";"an";"$2a$10$LQgiUn.j3nbsSK2Ld92YO.WWPv5x5/99HVj1sVG4xg4.K9M.HyI/q";"2019-12-03 18:04:02";""
"7";"email7@gmail.com";"blue123car";"password8";"2019-09-14 06:02:00";"www.url7.com"
"8";"email8@gmail.com";"dorgi001";"password9";"2019-09-07 01:20:00";"www.url8.com"
"9";"email9@sjsu.edu";"diamond07!";"password10";"2019-09-03 07:00:00";"www.url9.com"
"90715c8b-cb5a-4a2c-84c1-62d66bfaf491";"button@gmail.com";"button";"$2a$10$DzNELfuduY4j4BEzrRo86O.J7X1ZIh/4DH2Pfh22sCAotiDaVYoJS";"2019-12-11 03:12:14";""
"a0d5c83c-d930-4e74-a21d-ea498e7651c4";"test3@gmail.com";"test3";"$2a$10$uUKck2k1uCOcRggRWNlys.Tcy4qNL4QgwfCevB/wFS.MtTFQ2EKZa";"2019-12-11 03:49:15";""
"aa316f4d-92b5-46fb-9261-3d30b6bf45cf";"annguyen@gmail.com";"annguyen06";"$2a$10$MkUAVAObbE6Rx4YAce1lOevBTjLeJTo4ikOOpzM4JRJR4sYJ3rK/G";"2019-12-03 02:34:47";""
"ab284fb0-eeb1-4299-ba9f-4ff12debe256";"test1@gmail.com";"Test1";"$2a$10$NAm/ICVdkIfgu3tkEcNCdefTvnbxWe9XqOgka4lejfg/IdF2gaSri";"2019-12-02 23:26:57";""
